name|exists_flag
----|-----------
Предварительный_расчет|1
Предварительный_расчет_Товары|1
Предварительный_расчет_Услуги|1
Расчет_ТП|1
Расчет_ТП_Строка|1
Декларация|1
ГТД_Груз|1
Контейнер_Расчет|1
Контейнер_Расчет_Суммы|1
table_name|column_id|column_name|type_name
----------|---------|-----------|---------
ГТД_Груз|1|ID|int
ГТД_Груз|2|ID_ГТД|int
ГТД_Груз|3|ID_ТипУпаковки|int
ГТД_Груз|4|Наименование|nvarchar
ГТД_Груз|5|ВесНетто|float
ГТД_Груз|6|ВесБрутто|float
ГТД_Груз|7|КолВоМест|float
ГТД_Груз|8|Длина|float
ГТД_Груз|9|Ширина|float
ГТД_Груз|10|Объем|float
ГТД_Груз|11|КодТНВЭД|nvarchar
ГТД_Груз|12|Цена_G42|float
ГТД_Груз|13|Ср_Стоимость|float
ГТД_Груз|14|G311|nvarchar
ГТД_Груз|15|G313|nvarchar
ГТД_Груз|16|G315|nvarchar
ГТД_Груз|17|G315A|float
ГТД_Груз|18|G45|float
ГТД_Груз|19|G46|float
ГТД_Груз|20|G472B|float
ГТД_Груз|21|G474B|float
ГТД_Груз|22|IMP|float
ГТД_Груз|23|IMP2|float
ГТД_Груз|24|G31_13|nvarchar
ГТД_Груз|25|G451|nvarchar
ГТД_Груз|26|ND|nvarchar
ГТД_Груз|27|G32G|int
ГТД_Груз|28|UNIQ|int
ГТД_Груз|29|G31_10|nvarchar
ГТД_Груз|30|G31_11|nvarchar
ГТД_Груз|31|G31_12|nvarchar
ГТД_Груз|32|G31_14|nvarchar
ГТД_Груз|33|G31_15|nvarchar
ГТД_Груз|34|G31_16|nvarchar
ГТД_Груз|35|G31_17|nvarchar
ГТД_Груз|36|G31_18|nvarchar
ГТД_Груз|37|G31_19|nvarchar
ГТД_Груз|38|G31_20|nvarchar
ГТД_Груз|39|KOLVO|float
ГТД_Груз|40|CODE_EDI|nvarchar
ГТД_Груз|41|NAME_EDI|nvarchar
ГТД_Груз|42|STATUS|nvarchar
ГТД_Груз|43|G32|int
ГТД_Груз|44|IsArchive|bit
ГТД_Груз|45|G37|nvarchar
ГТД_Груз|46|G47|float
ГТД_Груз|47|G46_G38|float
ГТД_Груз|48|НомерПП|nvarchar
ГТД_Груз|49|Артикул|nvarchar
ГТД_Груз|50|Код|nvarchar
ГТД_Груз|51|НоменклатурнаяГруппа|nvarchar
ГТД_Груз|52|ID_ЕдИзм|int
ГТД_Груз|53|ЦенаЗаШтуку|float
ГТД_Груз|54|Сумма|float
ГТД_Груз|55|ID_Валюта|int
ГТД_Груз|56|ID_НаименованиеГруза|int
ГТД_Груз|57|Товарный_Знак|nvarchar
ГТД_Груз|58|ID_Изготовитель|int
ГТД_Груз|59|ID_СтранаИзготовитель|int
ГТД_Груз|60|Страна|nvarchar
ГТД_Груз|61|Изготовитель|nvarchar
ГТД_Груз|62|G36_1_ПреференцияCustomsTax|nvarchar
ГТД_Груз|63|G36_2_ПреференцияCustomsDuty|nvarchar
ГТД_Груз|64|G36_3_ПреференцияExcise|nvarchar
ГТД_Груз|65|G36_4_ПреференцияRate|nvarchar
ГТД_Груз|66|ID_МОС|int
ГТД_Груз|67|ID_ПКТС|int
ГТД_Груз|68|ТоварыПоРО|nvarchar
ГТД_Груз|69|НетПрефНаПошлПоСтране|bit
ГТД_Груз|70|Модель|nvarchar
ГТД_Груз|71|G46_OUT|float
ГТД_Груз|72|G38_OUT|float
ГТД_Груз|73|G46_G38_OUT|float
ГТД_Груз|74|G46_G38_Ensure|float
ГТД_Груз|75|ВидУпаковки|nvarchar
ГТД_Груз|76|ВесТары|nvarchar
Декларация|1|ID|int
Декларация|2|Референс|REF_NUMBER
Декларация|3|Терминал|nvarchar
Декларация|4|КлиентДекларации|nvarchar
Декларация|5|ID_КлиентВСистеме|int
Декларация|6|Дата_прихода|smalldatetime
Декларация|7|Дата_подачи|smalldatetime
Декларация|8|Дата_выпуска|smalldatetime
Декларация|9|НомерБланка|nvarchar
Декларация|10|СправНомер|nvarchar
Декларация|11|Судно|nvarchar
Декларация|12|СтранаПроизводитель|nvarchar
Декларация|13|СтранаОтправитель|nvarchar
Декларация|14|ОбщийВесНетто|float
Декларация|15|ОбщийВесБрутто|float
Декларация|16|Кол_во_контейнеров|int
Декларация|17|Курс|float
Декларация|18|СуммаДекларации|float
Декларация|19|СуммаКТС|float
Декларация|20|СтавкаНДС|float
Декларация|21|ФИОДекларанта|nvarchar
Декларация|22|КодВалюты|nvarchar
Декларация|23|КодРабМеста|int
Декларация|24|Брокерская|bit
Декларация|25|Электронная|bit
Декларация|26|Удалена|bit
Декларация|27|Примечание|nvarchar
Декларация|28|СредаИмпорта|nvarchar
Декларация|29|CurUser|CUR_USER
Декларация|30|CurTime|CUR_TIME
Декларация|31|CurEditUser|CUR_USER
Декларация|32|CurEditTime|CUR_TIME
Декларация|33|UserRef|bit
Декларация|34|CurUserID|int
Декларация|35|CurEditUserID|int
Декларация|36|IsNew|bit
Декларация|37|ИмяШаблона|nvarchar
Декларация|38|IsTemplate|bit
Декларация|39|ID_Брокер|int
Декларация|40|ID_Таможня|int
Декларация|41|ID_Import|int
Декларация|42|ID_Поставщик|int
Декларация|43|Сумма_По_Счету_G22|float
Декларация|44|Отправитель_G2|nvarchar
Декларация|45|Представитель_G14|nvarchar
Декларация|46|Место_Погрузки_G27|nvarchar
Декларация|47|Код_места_погрузки_G27_2|nvarchar
Декларация|48|РежимГТД_G1T|nvarchar
Декларация|49|РежимГТД_G1K|nvarchar
Декларация|50|БезВыпуска|bit
Декларация|51|НеУчитыватьРасход|bit
Декларация|52|НеУчитыватьДоход|bit
Декларация|53|Imp_Num|nvarchar
Декларация|54|Дата_посл_досмотр|datetime
Декларация|55|КолвоДосмотр|int
Декларация|56|Дата_Передано_Экспедитору|datetime
Декларация|57|G19|int
Декларация|58|ИНН_Получатель|nvarchar
Декларация|59|IsArchive|bit
Декларация|60|МаркерНетКонт|nvarchar
Декларация|61|ND|nvarchar
Декларация|62|ПРД|bit
Декларация|63|Отозвана|bit
Декларация|64|КолвоСтраниц|int
Декларация|65|ОписаниеСтатусаЭД|nvarchar
Декларация|66|СтатусЭД|nvarchar
Декларация|67|ДатаСменыСтатуса|datetime
Декларация|68|Аннулирована|bit
Декларация|69|ПримечаниеДляОтчета|nvarchar
Декларация|70|Договор|nvarchar
Декларация|71|Дата_договора|nvarchar
Декларация|72|Плательщик|nvarchar
Декларация|73|СерияНомерПаспортаДекларанта|nvarchar
Декларация|74|ТипДокументаДекларанта|nvarchar
Декларация|75|НомерАкта|nvarchar
Декларация|76|ДатаАкта|datetime
Декларация|77|НомерПаспортаДекларанта|nvarchar
Декларация|78|НеПривязыватьКонтейнеры|bit
Декларация|79|Преференция|bit
Декларация|80|DocID|nvarchar
Декларация|81|ID_Плательщик|int
Декларация|82|ID_Получатель|int
Декларация|83|КодРешения|nvarchar
Декларация|84|ДатаРешения|datetime
Декларация|85|ЛНП|nvarchar
Декларация|86|ОписаниеРешения|nvarchar
Декларация|87|Инспектор|nvarchar
Декларация|88|Дата_КомплектДляТО_From_Запрос|datetime
Декларация|89|ID_Грузоотправитель|int
Декларация|90|ХешКод|int
Декларация|91|Референс_Число|int
Декларация|92|Тип_Нумерации|int
Декларация|93|РеференсыЗаказов|nvarchar
Декларация|94|ID_Статус|int
Декларация|95|Дата_Завершения|datetime
Декларация|96|СерииВыгружены|bit
Декларация|97|ЛицензияБрокера|nvarchar
Декларация|98|ID_ИнспекторПодача|int
Декларация|99|ID_ИнспекторВыпуск|int
Декларация|100|Выгрузка_БухКОРП|bit
Декларация|101|ДокументыСкачаныВПортале|datetime
Декларация|102|ID_Контракт|int
Декларация|103|Дата_ЛицензииБрокера|datetime
Декларация|104|ИНН_ТамПредставителя|nvarchar
Декларация|105|КПП_ТамПредставителя|nvarchar
Декларация|106|ID_ПодписывающийДекларант|int
Декларация|107|НеВыводитьВОтчете|bit
Декларация|108|ID_БизнессПроцесс|int
Декларация|109|План_Подача|datetime
Декларация|110|План_Выпуск|datetime
Декларация|111|ID_Декларант|int
Декларация|112|ID_СтатусВыгрузки|int
Декларация|113|ID_Выпускающий|int
Декларация|114|Дата_ПодачаВБанк|datetime
Декларация|115|СтранаНазначения|nvarchar
Декларация|116|ID_Код_Инкотермс|int
Декларация|117|ID_НасПункт|int
Декларация|118|ID_ОрганВъездаВыезда|int
Декларация|119|УсловныйВыпуск|bit
Декларация|120|УсловныйВыпускОписание|nvarchar
Декларация|121|Guid|uniqueidentifier
Декларация|122|Дополнительная|bit
Декларация|123|Разнарядка_УсловныйВыпуск|bit
Декларация|124|ID_ТоргующаяСтрана|int
Декларация|125|ДТ_С_Обеспечением|bit
Декларация|126|Обеспечение_БГ|bit
Декларация|127|ID_БГ|int
Декларация|128|Обеспечение_ИП|bit
Декларация|129|ID_ИП|int
Декларация|130|СуммаБлокированных|money
Декларация|131|УсловиеПоставки|nvarchar
Декларация|132|ИТС_Обеспечения|nvarchar
Декларация|133|ТранспортНаГранице|nvarchar
Декларация|134|ID_ТипДТ|int
Декларация|135|Таможенная_стоимость_G12|money
Декларация|136|G40_Заявление|nvarchar
Декларация|137|ИНН_Плательщик|nvarchar
Декларация|138|КПП_Плательщик|nvarchar
Декларация|139|КолВо_заявлений|int
Контейнер_Расчет|1|ID|int
Контейнер_Расчет|2|ID_Груз|int
Контейнер_Расчет|3|ID_НомЕдиница|int
Контейнер_Расчет|4|ID_Валюта|int
Контейнер_Расчет|5|ID_Набора|int
Контейнер_Расчет|6|ID_Тип|int
Контейнер_Расчет|7|ID_БазВал|int
Контейнер_Расчет|8|ID_Контрагент|int
Контейнер_Расчет|9|Курс|money
Контейнер_Расчет|10|Сумма|money
Контейнер_Расчет|11|СуммаБазВал|money
Контейнер_Расчет|12|Заметки|nvarchar
Контейнер_Расчет|13|CurUser|CUR_USER
Контейнер_Расчет|14|CurTime|CUR_TIME
Контейнер_Расчет|15|CurEditUser|CUR_USER
Контейнер_Расчет|16|CurEditTime|CUR_TIME
Контейнер_Расчет|17|Авто|bit
Контейнер_Расчет|18|ID_Договор|int
Контейнер_Расчет|19|ID_СобственнаяФирма|int
Контейнер_Расчет|20|ID_Получатель|int
Контейнер_Расчет|21|ID_ВидОплаты|int
Контейнер_Расчет|22|ID_Тариф|int
Контейнер_Расчет|23|Возмещаемый|bit
Контейнер_Расчет|24|Сумма2|money
Контейнер_Расчет|25|МаржаВС|money
Контейнер_Расчет|26|МаржаБВ|money
Контейнер_Расчет|27|Цена|money
Контейнер_Расчет|28|Количество|float
Контейнер_Расчет|29|ID_ЕдиницаИзмерения|int
Контейнер_Расчет|30|СкидкаПроцент|float
Контейнер_Расчет|31|НадбавкаПроцент|float
Контейнер_Расчет|32|Налог|float
Контейнер_Расчет|33|ЦенаБезНалогов|money
Контейнер_Расчет|34|СуммаНалога|money
Контейнер_Расчет|35|СуммаБезНалогов|money
Контейнер_Расчет|36|СуммаНалогаВалСчета|money
Контейнер_Расчет|37|СуммаБезНалоговВалСчета|money
Контейнер_Расчет|38|Дата_начала|datetime
Контейнер_Расчет|39|Дата_окончания|datetime
Контейнер_Расчет|40|ДатаКурса|datetime
Контейнер_Расчет|41|CurUserID|int
Контейнер_Расчет|42|ID_КатегорияСчета|int
Контейнер_Расчет|43|ID_ЕдРасчета|int
Контейнер_Расчет|44|ЗначениеРасчета|float
Контейнер_Расчет|45|НомерПП|int
Контейнер_Расчет|46|Проверено|bit
Контейнер_Расчет|47|ДействуетДо|datetime
Контейнер_Расчет|48|ОрганизацияТЭ|bit
Контейнер_Расчет|49|ID_Расход|int
Контейнер_Расчет|50|ID_Ставка|int
Контейнер_Расчет|51|Фиксировать|bit
Контейнер_Расчет|52|ID_ParrentRasch|int
Контейнер_Расчет|53|IsNew|bit
Контейнер_Расчет|54|ID_Налог|int
Контейнер_Расчет|55|Копия|bit
Контейнер_Расчет|56|ID_ТЕ|int
Контейнер_Расчет|57|IsBatch|bit
Контейнер_Расчет|58|ДатаКурса_d|smalldatetime
Контейнер_Расчет_Суммы|1|ID|int
Контейнер_Расчет_Суммы|2|Расход|money
Контейнер_Расчет_Суммы|3|Доход|money
Контейнер_Расчет_Суммы|4|Прибыль|money
Контейнер_Расчет_Суммы|5|ID_Cont|int
Контейнер_Расчет_Суммы|6|KOD|int
Контейнер_Расчет_Суммы|7|Расход_СНДС|money
Контейнер_Расчет_Суммы|8|Доход_СНДС|money
Контейнер_Расчет_Суммы|9|Расход_БезНДС|money
Контейнер_Расчет_Суммы|10|Доход_БезНДС|money
Контейнер_Расчет_Суммы|11|Прибыль_БезНДС|money
Контейнер_Расчет_Суммы|12|Прибыль_СНДС|money
Предварительный_расчет|1|ID|int
Предварительный_расчет|2|Референс|nvarchar
Предварительный_расчет|3|Дата|datetime
Предварительный_расчет|4|ДатаКурса|datetime
Предварительный_расчет|5|ID_Статус|int
Предварительный_расчет|6|ID_МенеджерКомСлужбы|int
Предварительный_расчет|7|ID_МенеджерРасчета|int
Предварительный_расчет|8|ID_Направление|int
Предварительный_расчет|9|ID_Инкотермс|int
Предварительный_расчет|10|ID_ПунктОтгрузки|int
Предварительный_расчет|11|ID_МестоДоставки|int
Предварительный_расчет|12|ID_ТипТЕ|int
Предварительный_расчет|13|КолВоТЕ|float
Предварительный_расчет|14|ID_Агент|int
Предварительный_расчет|15|ID_Брокер|int
Предварительный_расчет|16|ID_Таможня|int
Предварительный_расчет|17|ID_Схема|int
Предварительный_расчет|18|ТамСтоимость|money
Предварительный_расчет|19|КолВоДТ|int
Предварительный_расчет|20|ТамСтоимость1|money
Предварительный_расчет|21|ИТОГО|money
Предварительный_расчет|22|Коэфф|float
Предварительный_расчет|23|CurUser|nvarchar
Предварительный_расчет|24|CurTime|smalldatetime
Предварительный_расчет|25|CurEditUser|nvarchar
Предварительный_расчет|26|CurEditTime|smalldatetime
Предварительный_расчет|27|UserRef|bit
Предварительный_расчет|28|IsNew|bit
Предварительный_расчет|29|ХешКод|int
Предварительный_расчет|30|Референс_Число|int
Предварительный_расчет|31|Тип_Нумерации|int
Предварительный_расчет|32|IsTemplate|bit
Предварительный_расчет|33|ОбщееНазваниеТовара|nvarchar
Предварительный_расчет_Товары|1|ID|int
Предварительный_расчет_Товары|2|ID_Расчет|int
Предварительный_расчет_Товары|3|НомерПП|nvarchar
Предварительный_расчет_Товары|4|ОписаниеТовара|nvarchar
Предварительный_расчет_Товары|5|ID_КодТНВЭД|int
Предварительный_расчет_Товары|6|Цена|money
Предварительный_расчет_Товары|7|КолВо|float
Предварительный_расчет_Товары|8|СуммаВал|money
Предварительный_расчет_Товары|9|ID_Валюта|int
Предварительный_расчет_Товары|10|СуммаРуб|money
Предварительный_расчет_Товары|11|ВесБрутто|float
Предварительный_расчет_Товары|12|ВесНетто|float
Предварительный_расчет_Товары|13|ID_Страна|int
Предварительный_расчет_Товары|14|Сертификация|nvarchar
Предварительный_расчет_Товары|15|СтавкаПошлины|float
Предварительный_расчет_Товары|16|СуммаПошлины|money
Предварительный_расчет_Товары|17|ТамСтоимость|money
Предварительный_расчет_Товары|18|ДоляТовара|float
Предварительный_расчет_Товары|19|СуммаФрахта|money
Предварительный_расчет_Товары|20|СебесШтукиВал|money
Предварительный_расчет_Товары|21|СебесВал|money
Предварительный_расчет_Товары|22|СебесШтукиРуб|money
Предварительный_расчет_Товары|23|СебесРуб|money
Предварительный_расчет_Услуги|1|ID|int
Предварительный_расчет_Услуги|2|ID_Расчет|int
Предварительный_расчет_Услуги|3|ID_Услуга|int
Предварительный_расчет_Услуги|4|Сумма|money
Предварительный_расчет_Услуги|5|ID_ПунктОтпр|int
Предварительный_расчет_Услуги|6|ID_ПунктНазн|int
Предварительный_расчет_Услуги|7|Код|nvarchar
Предварительный_расчет_Услуги|8|ID_КодОперации|int
Предварительный_расчет_Услуги|9|ID_Валюта|int
Предварительный_расчет_Услуги|10|СуммаВал|money
Расчет_ТП|1|ID|int
Расчет_ТП|2|ID_Отгрузка|int
Расчет_ТП|3|Дата_ТО_План|datetime
Расчет_ТП|4|Дата_ТО_Факт|datetime
Расчет_ТП|5|ID_Таможенный_пост|int
Расчет_ТП|6|ID_Статус|int
Расчет_ТП|7|Дата_Статус|datetime
Расчет_ТП|8|Дата_Записка|datetime
Расчет_ТП|9|Номер_Поставки|nvarchar
Расчет_ТП|10|Номер_Заказ_Поставщику|nvarchar
Расчет_ТП|11|Стоимость_Фрахт|float
