table_name                                                                                                                       row_count           
-------------------------------------------------------------------------------------------------------------------------------- --------------------
Маршрутизация_разнарядок_Парам                                                                                                                   7220
Место_обработки_грузов                                                                                                                           1404
Уведомления_Запросы                                                                                                                              1110
ПланыСчетовУчета                                                                                                                                  464
Вид_Груза_Тамож                                                                                                                                   365
Разнарядка_Параметры                                                                                                                              111
Платежи_Из_БК                                                                                                                                      85
Маршрутизация_разнарядок                                                                                                                           76
Груз_Поля_RO                                                                                                                                       34
ПолеИзРазнарядки                                                                                                                                   31
Статус_перевозки_ТО                                                                                                                                30
ДатыРасчета                                                                                                                                        22
ОбъектНачисленияТарифа                                                                                                                             22
Тип_Сервиса_Запроса                                                                                                                                19
Операция_Рейса                                                                                                                                     18
Объект_Контрагент                                                                                                                                  16
Свойство_Груза                                                                                                                                     16
Тип_Контрагента                                                                                                                                    13
portal_notifications_user_options                                                                                                                   8
Вид_ДатыРасчета                                                                                                                                     8
ЕдиницаРасчета                                                                                                                                      8
ОбъектРасчетаТарифа                                                                                                                                 8
Роль_Контрагента                                                                                                                                    8
Статус_Контрагента                                                                                                                                  8
Статус_Рейса                                                                                                                                        8
Подтип_Рейса                                                                                                                                        7
Статус_Запроса                                                                                                                                      7
Статус_Запроса_Картинка                                                                                                                             7
Статус_КомПредл                                                                                                                                     7
Тип_Расчетного_Счета                                                                                                                                7
Источник_Запроса                                                                                                                                    5
Тип_грузовой_партии                                                                                                                                 5
ВидЗависимостиРазнарядка                                                                                                                            4
Группы_Счетов                                                                                                                                       4
Категория_Платежа                                                                                                                                   4
Приоритет_Контрагента                                                                                                                               4
Тип_Плат_Документа                                                                                                                                  4
Тип_Рейса                                                                                                                                           4
Условие_оплаты_фрахта                                                                                                                               4
Вид_Договора                                                                                                                                        3
Вид_Оплаты                                                                                                                                          3
Направление_платежей                                                                                                                                3
Признак_Выгрузки_1С                                                                                                                                 3
Статус_Выгрузки_ДТ                                                                                                                                  3
Статус_Отгрузки                                                                                                                                     3
Статус_ПредРасчета                                                                                                                                  3
Статус_Разнарядки                                                                                                                                   3
Статус_Расчет_ТП                                                                                                                                    3
Тип_Задачи_По_Запросу                                                                                                                               3
ТипПлатежа                                                                                                                                          3
Уведомления_ТипЗапроса                                                                                                                              3
EDI_РольКонтрагента                                                                                                                                 2
XLImport_TransportationSchemeExp                                                                                                                    2
Вид_Даты_ПланОплаты                                                                                                                                 2
Вид_Загрузки                                                                                                                                        2
График_оплаты_счетов                                                                                                                                2
Разнарядка_Параметры_Значения                                                                                                                       2
Тип_Груза                                                                                                                                           2
Тип_разнарядки                                                                                                                                      2
Тип_Расчета                                                                                                                                         2
ТипГрузаПоЗаказу                                                                                                                                    2
Категория_счета                                                                                                                                     1
Custom_Integration_1C_CS                                                                                                                            0
Custom_Integration_BITFinance                                                                                                                       0
Custom_Integration_CallTouch                                                                                                                        0
Custom_Integration_EGGER                                                                                                                            0
Custom_Integration_PMI                                                                                                                              0
Custom_Integration_PMI_Routing                                                                                                                      0
EDI_Маршрутизация                                                                                                                                   0
Import_Excel_ПредварительныйРасчет                                                                                                                  0
Localization                                                                                                                                        0
portal_notifications                                                                                                                                0
XLImport_DistrLocation                                                                                                                              0
XLImport_Relations                                                                                                                                  0
