name|cols
----|----
Запрос_Клиента|185
Запрос_План|299
ЗаявкаНаПеревозку|82
Контейнер|224
Разнарядка_Местоположение|45
Рейс|63
name|column_id|name
----|---------|----
Запрос_План|1|ID
Запрос_План|2|ID_ВариантЗапроса
Запрос_План|3|ID_ТипЗадачи
Запрос_План|4|ID_Тип_Рейса
Запрос_План|5|ID_СтранаОтпр
Запрос_План|6|ID_СтранаНазн
Запрос_План|7|ID_НасПунктОтпр
Запрос_План|8|ID_НасПунктНазн
Запрос_План|9|ID_Ответственный
Запрос_План|10|Наименование
Запрос_План|11|Дата_Начало
Запрос_План|12|Дата_Окончание
Запрос_План|13|Расходы
Запрос_План|14|Доходы
Запрос_План|15|Заметки
Запрос_План|16|ID_Номенклатура
Запрос_План|17|ID_ВалютаР
Запрос_План|18|ID_ВалютаД
Запрос_План|19|НомерПП
Запрос_План|20|ID_Контрагент
Запрос_План|21|ID_ЕдИзмерения
Запрос_План|22|КолВо
Запрос_План|23|ДействуетДо
Запрос_План|24|ЗаметкиДляКлиента
Запрос_План|25|Расчитано
Запрос_План|26|CurTime
Запрос_План|27|CurUser
Запрос_План|28|ДатаРасчета
Запрос_План|29|КтоРасчитал
Запрос_План|30|ID_КтоРасчитал
Запрос_План|31|Длительность
Запрос_План|32|ID_Длительность
Запрос_План|33|ID_МестоОтпр
Запрос_План|34|ID_МестоНазн
Запрос_План|35|ID_АдресОтпр
Запрос_План|36|ID_АдресНазн
Запрос_План|37|СписокКонтейнеров
Запрос_План|38|ID_ВидНалога
Запрос_План|39|ID_Подтип_Рейса
Запрос_План|40|ID_ЕдРасчета
Запрос_План|41|ID_МестоЗатаможки
Запрос_План|42|ID_МестоРастаможки
Запрос_План|43|ДатаЗатаможки
Запрос_План|44|ДатаРастаможки
Запрос_План|45|ЗначениеРасчета
Запрос_План|46|CurEditTime
Запрос_План|47|CurEditUser
Запрос_План|48|CurUserID
Запрос_План|49|ЕстьВарианты
Запрос_План|50|ID_Parent
Запрос_План|51|ID_Ставка
Запрос_План|52|Факт
Запрос_План|53|ID_Ставка_План
Запрос_План|54|ID_Заказ
Запрос_План|55|ID_Маршрутизация
Запрос_План|56|ID_Вариант
Запрос_План|57|ID_Статус
Запрос_План|58|ID_ТипРазнарядки
Запрос_План|59|Дата_Начало_Факт
Запрос_План|60|Дата_Окончание_Факт
Запрос_План|61|Длительность_Факт
Запрос_План|62|ID_Длительность_Факт
Запрос_План|63|Расходы_Факт
Запрос_План|64|Доходы_Факт
Запрос_План|65|ID_ВалютаР_Факт
Запрос_План|66|ID_ВалютаД_Факт
Запрос_План|67|ID_ВидНалогаР
Запрос_План|68|ID_ВидНалога_Факт
Запрос_План|69|ID_ВидНалогаР_Факт
Запрос_План|70|ID_ОсновноеТС
Запрос_План|71|ID_ДопТС
Запрос_План|72|НомерРейса
Запрос_План|73|НомерТСД
Запрос_План|74|ID_СвояФирма
Запрос_План|75|ID_Договор
Запрос_План|76|ID_Водитель
Запрос_План|77|ID_КонтактВодителя
Запрос_План|78|ID_ВидЗагрузки
Запрос_План|79|Number_Of_Original_BL
Запрос_План|80|Number_Of_Copy_BL
Запрос_План|81|ID_Условие_Оплаты_Фрахта
Запрос_План|82|ID_Тип_ТЕ
Запрос_План|83|Номер_ТЕ
Запрос_План|84|ID_СвояФирмаЗаказ
Запрос_План|85|ID_ДоговорЗаказ
Запрос_План|86|Номер
Запрос_План|87|Дата
Запрос_План|88|UserRef
Запрос_План|89|Референс_Число
Запрос_План|90|ХешКод
Запрос_План|91|Тип_Нумерации
Запрос_План|92|ID_Грузоотправитель
Запрос_План|93|ID_Грузополучатель
Запрос_План|94|ID_Уведомить
Запрос_План|95|Грузоотправитель
Запрос_План|96|Грузополучатель
Запрос_План|97|Уведомить
Запрос_План|98|НомерБукинга
Запрос_План|99|ДатаКоррекцииТСД
Запрос_План|100|ID_Местоположение
Запрос_План|101|ID_Контакт_Грузоотправитель
Запрос_План|102|ID_Отправитель_Тел
Запрос_План|103|ID_Отправитель_Email
Запрос_План|104|ID_Контакт_Грузополучатель
Запрос_План|105|ID_Получатель_Тел
Запрос_План|106|ID_Получатель_Email
Запрос_План|107|ID_Куратор_Поставщика
Запрос_План|108|ИзШаблона
Запрос_План|109|ID_АгентНазн
Запрос_План|110|ID_КонтактАгентНазн
Запрос_План|111|ID_АгентОтпр
Запрос_План|112|ID_КонтактАгентОтпр
Запрос_План|113|ID_КонтактУведомить
Запрос_План|114|ID_НачалоЗависитОт
Запрос_План|115|ID_ОперацияНачала
Запрос_План|116|ID_ОкончаниеЗависитОт
Запрос_План|117|ID_ОперацияОкончания
Запрос_План|118|ID_НачалоЗависитОт_Факт
Запрос_План|119|ID_ОперацияНачала_Факт
Запрос_План|120|ID_ОкончаниеЗависитОт_Факт
Запрос_План|121|ID_ОперацияОкончания_Факт
Запрос_План|122|ID_СудоходнаяЛиния
Запрос_План|123|ID_Поручитель
Запрос_План|124|НачалоДействия
Запрос_План|125|ID_ДТ
Запрос_План|126|КопироватьГрузы
Запрос_План|127|ID_ЛинияWeb
Запрос_План|128|ЗависимостьРасхода
Запрос_План|129|ЗависимостьДохода
Запрос_План|130|ПроцентРасхода
Запрос_План|131|ПроцентДохода
Запрос_План|132|РасходЗависитОт
Запрос_План|133|ДоходЗависитОт
Запрос_План|134|РасходСчитатьКакНДС
Запрос_План|135|ДоходСчитатьКакНДС
Запрос_План|136|ФиксированноеВремя
Запрос_План|137|ID_Таможня
Запрос_План|138|ДатаНачалаВыполнения
Запрос_План|139|ДатаЗавершения
Запрос_План|140|ОперацияТО
Запрос_План|141|Тендер
Запрос_План|142|ДатаОкончанияПоНорматив
Запрос_План|143|Наблюдатели
Запрос_План|144|КопироватьГрузыИзДругой
Запрос_План|145|ID_КопироватьГрузы
Запрос_План|146|ID_ТипМестаОтпр
Запрос_План|147|ID_ТипМестаНазн
Запрос_План|148|GPSNum
Запрос_План|149|ZakazRef
Запрос_План|150|НаблюдателиРедактируют
Запрос_План|151|Возмещаемый
