parent_table                                                                                                                     parent_column                                                                                                                    ref_table                                                                                                                        ref_column                                                                                                                      
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
Agent_Layout                                                                                                                     ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
CMR                                                                                                                              ID_Грузоотправитель                                                                                                              Контрагент                                                                                                                       ID                                                                                                                              
CMR                                                                                                                              ID_Грузополучатель                                                                                                               Контрагент                                                                                                                       ID                                                                                                                              
CMR                                                                                                                              ID_Поручитель                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
EDI_Маршрутизация                                                                                                                ID_EDI                                                                                                                           EDI_Форматы                                                                                                                      ID                                                                                                                              
EDI_Маршрутизация                                                                                                                ID_Отправитель                                                                                                                   Контрагент                                                                                                                       ID                                                                                                                              
EDI_Маршрутизация                                                                                                                ID_РольПолучателя                                                                                                                EDI_РольКонтрагента                                                                                                              ID                                                                                                                              
portal_users_firms                                                                                                               ID_Firm                                                                                                                          Контрагент                                                                                                                       ID                                                                                                                              
Аналитика                                                                                                                        ID_Заказчик                                                                                                                      Контрагент                                                                                                                       ID                                                                                                                              
Виды_ГСМ                                                                                                                         ID_Изготовитель                                                                                                                  Контрагент                                                                                                                       ID                                                                                                                              
Груз_Даты_План_Факт                                                                                                              ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Груз_Даты_План_Факт                                                                                                              ID_КонтрольныеДаты                                                                                                               КонтрольныеДаты                                                                                                                  ID                                                                                                                              
Груз_Даты_План_Факт                                                                                                              ID_МОГ_Отпр                                                                                                                      Место_обработки_грузов                                                                                                           ID                                                                                                                              
Груз_Даты_План_Факт                                                                                                              ID_МОГ_ТО                                                                                                                        Место_обработки_грузов                                                                                                           ID                                                                                                                              
Груз_Даты_План_Факт                                                                                                              ID_НП_Отпр                                                                                                                       НаселенныйПункт                                                                                                                  ID                                                                                                                              
Груз_Даты_План_Факт                                                                                                              ID_НП_ТО                                                                                                                         НаселенныйПункт                                                                                                                  ID                                                                                                                              
Груз_Даты_План_Факт                                                                                                              ID_Разнарядка                                                                                                                    Запрос_План                                                                                                                      ID                                                                                                                              
Груз_Запрос_Клиента                                                                                                              ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Груз_Запрос_Клиента                                                                                                              ID_Запрос                                                                                                                        Запрос_Клиента                                                                                                                   ID                                                                                                                              
Груз_ЗаявкаНаГруз                                                                                                                ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Груз_ЗаявкаНаГруз                                                                                                                ID_ЗаявкаНаГруз                                                                                                                  Заявка_По_Грузам                                                                                                                 ID                                                                                                                              
Груз_Инвойс                                                                                                                      ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Груз_Инвойс                                                                                                                      ID_Инвойс                                                                                                                        Инвойс                                                                                                                           ID                                                                                                                              
Груз_Проблема                                                                                                                    ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Груз_Проблема                                                                                                                    ID_ТипПроблемы                                                                                                                   Тип_Проблемы                                                                                                                     ID                                                                                                                              
Груз_Релиз                                                                                                                       ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Груз_Релиз                                                                                                                       ID_Релиз                                                                                                                         Релиз                                                                                                                            ID                                                                                                                              
Груз_Товар                                                                                                                       ID_Pack                                                                                                                          Упаковка                                                                                                                         ID                                                                                                                              
Груз_Товар                                                                                                                       ID_Pack0                                                                                                                         Упаковка                                                                                                                         ID                                                                                                                              
Груз_Товар                                                                                                                       ID_Pack2                                                                                                                         Упаковка                                                                                                                         ID                                                                                                                              
Груз_Товар                                                                                                                       ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Груз_Товар                                                                                                                       ID_МестоНазначения                                                                                                               Место_обработки_грузов                                                                                                           ID                                                                                                                              
Груз_Товар                                                                                                                       ID_Отгрузка                                                                                                                      Отгрузка                                                                                                                         ID                                                                                                                              
Груз_Товар                                                                                                                       ID_Товар                                                                                                                         Товар                                                                                                                            ID                                                                                                                              
Груз_Упаковочный                                                                                                                 ID_Груз                                                                                                                          Контейнер                                                                                                                        ID                                                                                                                              
Груз_Упаковочный                                                                                                                 ID_Упаковочный                                                                                                                   Упаковочный_Лист                                                                                                                 ID                                                                                                                              
