NULL	🧮Руководство по CRM
🧮Руководство по CRM	Работа с заказами
Работа с заказами	Мастер заказов — инструкция для пользователя
🧮Руководство по CRM	Водители — инструкция для пользователя
🧮Руководство по CRM	Канбан — инструкция для пользователя
Задачи	Задачи — инструкция для пользователя
🧮Руководство по CRM	Авто (транспортные средства) — инструкция для пользователя
NULL	Регламенты работы
Регламенты работы	Регламент менеджера: от лида до закрытой перевозки
NULL	✈️Экспресс-введении в профессию
✈️Экспресс-введении в профессию	🏃‍♂️Твой старт в продажах экспедирования
🏃‍♂️Твой старт в продажах экспедирования	1️⃣День 1: Знакомство
🏃‍♂️Твой старт в продажах экспедирования	2️⃣День 2: Понимание
2️⃣День 2: Понимание	Поставщики и продавцы строительной, специальной, карьерной техники.
Лиды	Лиды — инструкция для пользователя
🧮Руководство по CRM	Документы
🧮Руководство по CRM	Диспозиция — инструкция для пользователя
Регламенты работы	Регламент по ведению диспозиции
🏃‍♂️Твой старт в продажах экспедирования	3️⃣День 3: Начинаем
NULL	👨‍🎓Глоссарий
👨‍🎓Глоссарий	Базовые термины
👨‍🎓Глоссарий	Типы и режимы перевозок
👨‍🎓Глоссарий	Документы
👨‍🎓Глоссарий	Статусы в CRM
👨‍🎓Глоссарий	Роли и сотрудники
👨‍🎓Глоссарий	Финансы и KPI
👨‍🎓Глоссарий	CRM-специфичные
✈️Экспресс-введении в профессию	☄️ Ускоряемся в продажах
☄️ Ускоряемся в продажах	4️⃣День 4: Клиентская база
☄️ Ускоряемся в продажах	5️⃣ День 5: Цена
☄️ Ускоряемся в продажах	6️⃣ День 6: Документация от CMR до инвойса.
☄️ Ускоряемся в продажах	7️⃣ День 7: "Трубопровод"
✈️Экспресс-введении в профессию	🏔️ Профи
🏔️ Профи	8️⃣День 8: Вопросы и управление воронкой
🏔️ Профи	9️⃣ День 9: Возражения
🏔️ Профи	🏅 День 10: Стать чемпионом
🧮Руководство по CRM	Зачем корректно заполнять результат задачи
NULL	🌪️ Воронка продаж
🌪️ Воронка продаж	⚙️ Алгоритм воронки
🌪️ Воронка продаж	🔎 Сбор информации о клиенте
🌪️ Воронка продаж	🔬 Анализируем клиента
👨‍🎓Глоссарий	🚹 Активная клиентская база
🌪️ Воронка продаж	🗝️ Техники закрытия
🌪️ Воронка продаж	🏆 Топ-5 возражений клиентов
🌪️ Воронка продаж	🤕 Сложные клиенты
🌪️ Воронка продаж	🌗 Конкурентный анализ
NULL	📋 Тесты
🌪️ Воронка продаж	➗ Конверсия
📋 Тесты	Обработка возражений и анализ
🌪️ Воронка продаж	🔝 АВС анализ
🌪️ Воронка продаж	✖️ XYZ анализ
Регламент менеджера: от лида до закрытой перевозки	Что надо для подтверждения ставки 0% (НДС) — международные перевозки
Регламенты работы	Регламент работы с документами
🧮Руководство по CRM	Ассистенты CRM
Регламенты работы	Регламент оформления заявки и изменения базовых условий
Работа с заказами	Финансовые условия в мастере заказов
Лиды	Польза лидов
Базовые термины	🖨️"Сканы / оригиналы"
Базовые термины	📦Виды тары
📦Виды тары	🈚 Паллеты
📦Виды тары	🛍️ Биг бэги
📦Виды тары	🛒 Евро кубы
📦Виды тары	🍶 Бочки
Базовые термины	🛣️ Виды транспорта
🛣️ Виды транспорта	🚦 Автомобильный транспорт
🚦 Автомобильный транспорт	Бортовой кузов
🚦 Автомобильный транспорт	Тентованный кузов
🚦 Автомобильный транспорт	Цельнометаллический кузов
🚦 Автомобильный транспорт	Изотермический кузов
🚦 Автомобильный транспорт	Рефрижератор
🚦 Автомобильный транспорт	Платформы и низкорамные тралы
🚦 Автомобильный транспорт	Цистерны
🚦 Автомобильный транспорт	Стандартная еврофура
🚦 Автомобильный транспорт	Юмба или Джамбо (Jumbo)
🚦 Автомобильный транспорт	Мега (Mega)
🚦 Автомобильный транспорт	"Длинномер"
🚦 Автомобильный транспорт	Автопоезд
🛣️ Виды транспорта	📦 Контейнеры
📦 Контейнеры	Классификация контейнеров по размерам
📦 Контейнеры	Маркировки контейнеров
📦 Контейнеры	Виды контейнеров
Виды контейнеров	Стандартный сухой контейнер
Виды контейнеров	Рефрижераторы
Виды контейнеров	Open top (открытые)
Виды контейнеров	Flat rack (контейнер-платформа)
Виды контейнеров	Танк контейнеры
Базовые термины	🚂 Виды перевозок и регламентирующие их документы
🚂 Виды перевозок и регламентирующие их документы	🚅 Железнодорожные перевозки
🚂 Виды перевозок и регламентирующие их документы	🚚 Автомобильные перевозки
🚂 Виды перевозок и регламентирующие их документы	✈️ Авиа перевозки
🚂 Виды перевозок и регламентирующие их документы	🚢 Морские перевозки
Регламенты работы	Регламент отработки нового контрагента по задаче
Регламенты работы	Особенности перевозок в страны ЕАЭС (Россия ↔ Казахстан, Беларусь, Киргизия, Армения) с учётом СПОТ
🚂 Виды перевозок и регламентирующие их документы	🌐 Международные перевозки в страны ЕАЭС (с учётом СПОТ)
🧮Руководство по CRM	Лиды
🧮Руководство по CRM	Задачи
Задачи	Как не надо вести задачи
Лиды	Механизм работы лидов в CRM
Мобильное приложение Traklo	Traklo для менеджера
Мобильное приложение Traklo	Traklo для контрагента
🧮Руководство по CRM	Мобильное приложение Traklo
